price,model_year,transmission,fuel_type,mileage,brand,model,number_of_doors,origin,first_owner,tax_horsepower,condition,abs,airbags,multimedia,backup_camera,air_conditioning,esp,aluminum_wheels,speed_limiter,onboard_computer,parking_sensors,cruise_control,leather_seats,navigation_gps,sunroof,remote_central_locking,power_windows,car_age
280000,2022.0,Automatique,Diesel,97499.5,Volkswagen,T-Roc,5,WW au Maroc,True,8.0,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.0
196000,2018.0,Automatique,Diesel,134999.5,Ford,Kuga,5,WW au Maroc,False,8.0,Bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.0
159000,2021.0,Automatique,Diesel,97499.5,Dacia,Duster,5,WW au Maroc,False,6.0,Très bon,True,True,True,False,True,True,True,True,True,True,True,False,True,False,True,True,4.0
408500,2021.0,Automatique,Diesel,87499.5,Land Rover,Range Rover Sport,5,WW au Maroc,False,12.0,Excellent,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,4.0
365000,2020.0,Automatique,Diesel,144999.5,Mercedes-Benz,Classe E,5,Dédouanée,False,8.0,Excellent,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,5.0
125000,2016.0,Automatique,Essence,104999.5,Volkswagen,Passat,5,Importée neuve,False,15.0,Correct,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.0
185000,2018.0,Automatique,Diesel,144999.5,Volkswagen,Golf 7,5,WW au Maroc,True,8.0,Bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.0
265000,2019.0,Automatique,Diesel,224999.5,Audi,Q3,5,WW au Maroc,False,8.0,Excellent,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,6.0
113000,2023.0,Manuelle,Essence,32499.5,Dacia,Sandero,5,WW au Maroc,True,6.0,Bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.0
150000,2018.0,Manuelle,Diesel,194999.5,Opel,Crossland,5,WW au Maroc,False,6.0,Correct,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,7.0
70000,2006.0,Manuelle,Diesel,194999.5,Renault,Kangoo,5,WW au Maroc,True,7.0,Excellent,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,19.0
235000,2015.0,Automatique,Diesel,224999.5,Volkswagen,Tiguan,5,Dédouanée,True,8.0,Excellent,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,10.0
408500,2024.0,Automatique,Electrique,37499.5,Tesla,Model 3,5,Dédouanée,True,6.0,Excellent,False,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,1.0
97000,2011.0,Manuelle,Diesel,32499.5,Dacia,Duster,5,WW au Maroc,True,6.0,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14.0
60000,2012.0,Manuelle,Diesel,144999.5,Peugeot,307,5,WW au Maroc,True,6.0,Très bon,True,True,True,False,True,False,True,True,False,False,True,True,False,False,True,True,13.0
408500,2019.0,Automatique,Diesel,82499.5,Audi,Q5,5,WW au Maroc,True,8.0,Bon,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,6.0
158000,2018.0,Automatique,Diesel,104999.5,Alfa Romeo,Giulietta,5,WW au Maroc,True,6.0,Excellent,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,7.0
192000,2021.0,Automatique,Hybride,62499.5,Toyota,Corolla,5,WW au Maroc,True,10.0,Excellent,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,4.0
135000,2022.0,Automatique,Essence,52499.5,Fiat,500,3,WW au Maroc,True,7.0,Excellent,True,True,True,True,True,True,True,False,True,True,False,False,False,False,True,True,3.0
103000,2012.0,Manuelle,Essence,124999.5,Mini,CountryMan,5,WW au Maroc,False,8.0,Neuf,True,True,True,False,True,False,True,False,False,True,False,False,False,False,False,True,13.0
220000,2020.0,Automatique,Diesel,104999.5,Citroen,C5,5,WW au Maroc,True,8.0,Excellent,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,5.0
138000,2021.0,Manuelle,Diesel,114999.5,Dacia,Sandero,5,WW au Maroc,False,6.0,Très bon,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,4.0
256000,2018.0,Automatique,Diesel,104999.5,Mercedes-Benz,Classe CLA,5,WW au Maroc,False,9.0,Bon,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,7.0
220000,2024.0,Automatique,Essence,2499.5,Fiat,500X,5,WW au Maroc,False,8.0,Excellent,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
83000,2012.0,Manuelle,Essence,164999.5,Peugeot,508,5,WW au Maroc,False,9.0,Bon,True,True,True,False,True,True,True,True,True,True,True,False,False,False,True,True,13.0
