price,model_year,transmission,fuel_type,mileage,brand,model,number_of_doors,origin,first_owner,tax_horsepower,condition,abs,airbags,multimedia,backup_camera,air_conditioning,esp,aluminum_wheels,speed_limiter,onboard_computer,parking_sensors,cruise_control,leather_seats,navigation_gps,sunroof,remote_central_locking,power_windows,price_log,car_age
280000,2022.0,Automatique,Diesel,97499.5,Volkswagen,T-Roc,5,WW au Maroc,Oui,8.0,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,280000,3.0
196000,2018.0,Automatique,Diesel,134999.5,Ford,Kuga,5,WW au Maroc,Non,8.0,Bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,196000,7.0
159000,2021.0,Automatique,Diesel,97499.5,Dacia,Duster,5,WW au Maroc,Non,6.0,Très bon,True,True,True,False,True,True,True,True,True,True,True,False,True,False,True,True,159000,4.0
510000,2021.0,Automatique,Diesel,87499.5,Land Rover,Range Rover Sport,5,WW au Maroc,Non,12.0,Excellent,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,402000,4.0
365000,2020.0,Automatique,Diesel,144999.5,Mercedes-Benz,Classe E,5,Dédouanée,Non,8.0,Excellent,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,365000,5.0
125000,2016.0,Automatique,Essence,104999.5,Volkswagen,Passat,5,Importée neuve,Non,15.0,Correct,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,125000,9.0
185000,2018.0,Automatique,Diesel,144999.5,Volkswagen,Golf 7,5,WW au Maroc,Oui,8.0,Bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,185000,7.0
265000,2019.0,Automatique,Diesel,224999.5,Audi,Q3,5,WW au Maroc,Non,8.0,Excellent,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,265000,6.0
113000,2023.0,Manuelle,Essence,32499.5,Dacia,Sandero,5,WW au Maroc,Oui,6.0,Bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,113000,2.0
150000,2018.0,Manuelle,Diesel,194999.5,Opel,Crossland,5,WW au Maroc,Non,6.0,Correct,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,150000,7.0
70000,2006.0,Manuelle,Diesel,194999.5,Renault,Kangoo,5,WW au Maroc,Oui,7.0,Excellent,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,70000,19.0
235000,2015.0,Automatique,Diesel,224999.5,Volkswagen,Tiguan,5,Dédouanée,Oui,8.0,Excellent,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,235000,10.0
450000,2024.0,Automatique,Electrique,37499.5,Tesla,Model 3,5,Dédouanée,Oui,6.0,Excellent,False,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,402000,1.0
97000,2011.0,Manuelle,Diesel,32499.5,Dacia,Duster,5,WW au Maroc,Oui,6.0,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,97000,14.0
60000,2012.0,Manuelle,Diesel,144999.5,Peugeot,307,5,WW au Maroc,Oui,6.0,Très bon,True,True,True,False,True,False,True,True,False,False,True,True,False,False,True,True,60000,13.0
420000,2019.0,Automatique,Diesel,82499.5,Audi,Q5,5,WW au Maroc,Oui,8.0,Bon,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,402000,6.0
158000,2018.0,Automatique,Diesel,104999.5,Alfa Romeo,Giulietta,5,WW au Maroc,Oui,6.0,Excellent,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,158000,7.0
192000,2021.0,Automatique,Hybride,62499.5,Toyota,Corolla,5,WW au Maroc,Oui,10.0,Excellent,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,192000,4.0
135000,2022.0,Automatique,Essence,52499.5,Fiat,500,3,WW au Maroc,Oui,7.0,Excellent,True,True,True,True,True,True,True,False,True,True,False,False,False,False,True,True,135000,3.0
103000,2012.0,Manuelle,Essence,124999.5,Mini,CountryMan,5,WW au Maroc,Non,8.0,Neuf,True,True,True,False,True,False,True,False,False,True,False,False,False,False,False,True,103000,13.0
220000,2020.0,Automatique,Diesel,104999.5,Citroen,C5,5,WW au Maroc,Oui,8.0,Excellent,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,220000,5.0
138000,2021.0,Manuelle,Diesel,114999.5,Dacia,Sandero,5,WW au Maroc,Non,6.0,Très bon,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,138000,4.0
256000,2018.0,Automatique,Diesel,104999.5,Mercedes-Benz,Classe CLA,5,WW au Maroc,Non,9.0,Bon,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,256000,7.0
220000,2024.0,Automatique,Essence,2499.5,Fiat,500X,5,WW au Maroc,Non,8.0,Excellent,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,220000,1.0
83000,2012.0,Manuelle,Essence,164999.5,Peugeot,508,5,WW au Maroc,Non,9.0,Bon,True,True,True,False,True,True,True,True,True,True,True,False,False,False,True,True,83000,13.0
118000,2008.0,Automatique,Diesel,224999.5,Volkswagen,Caddy,4,Dédouanée,Non,8.0,Très bon,True,True,True,True,True,False,True,True,False,True,True,False,True,False,True,True,118000,17.0
670000,2020.0,Automatique,Diesel,82499.5,Mercedes-Benz,Classe GLC,5,Importée neuve,Non,8.0,Excellent,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,402000,5.0
163000,2024.0,Manuelle,Diesel,17499.5,Citroen,C-Elysée,5,WW au Maroc,Oui,6.0,Bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,163000,1.0
105000,2017.0,Manuelle,Diesel,144999.5,Renault,Clio,4,,Non,6.0,Très bon,True,True,True,True,True,False,True,True,True,True,True,False,True,False,True,True,105000,8.0
356000,2021.0,Automatique,Diesel,194999.5,Volvo,XC60,5,WW au Maroc,Non,8.0,Bon,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,356000,4.0
215000,2019.0,Manuelle,Diesel,17499.5,Ford,Kuga,5,WW au Maroc,Oui,6.0,Très bon,True,True,True,True,True,True,True,True,True,False,True,False,True,False,True,True,215000,6.0
75000,2014.0,Manuelle,Diesel,114999.5,Dacia,Sandero,5,,Non,6.0,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,75000,11.0
99000,2017.0,Manuelle,Diesel,114999.5,Dacia,Duster,5,WW au Maroc,Oui,7.0,Bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,99000,8.0
142000,2022.0,Manuelle,Diesel,104999.5,Renault,Clio,5,WW au Maroc,Oui,6.0,Excellent,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,142000,3.0
280000,2022.0,Automatique,Diesel,97499.5,Volkswagen,T-Roc,5,WW au Maroc,Oui,8.0,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,280000,3.0
196000,2018.0,Automatique,Diesel,134999.5,Ford,Kuga,5,WW au Maroc,Non,8.0,Bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,196000,7.0
159000,2021.0,Automatique,Diesel,97499.5,Dacia,Duster,5,WW au Maroc,Non,6.0,Très bon,True,True,True,False,True,True,True,True,True,True,True,False,True,False,True,True,159000,4.0
198000,2018.0,Manuelle,Diesel,134999.5,Ford,Kuga,4,WW au Maroc,Oui,8.0,Neuf,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,198000,7.0
227000,2024.0,Automatique,Essence,12499.5,Skoda,Kamiq,5,WW au Maroc,Oui,6.0,Neuf,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,227000,1.0
99000,2005.0,Automatique,Diesel,274999.5,Mercedes-Benz,Classe C,5,Dédouanée,Non,9.0,Excellent,True,True,True,False,True,True,True,True,True,True,True,False,False,False,True,True,99000,20.0
187000,2019.0,Automatique,Diesel,97499.5,Jeep,Renegade,5,WW au Maroc,Non,6.0,Très bon,True,True,True,False,True,True,True,True,True,True,True,False,False,False,True,True,187000,6.0
510000,2021.0,Automatique,Diesel,87499.5,Land Rover,Range Rover Sport,5,WW au Maroc,Non,12.0,Excellent,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,402000,4.0
365000,2020.0,Automatique,Diesel,144999.5,Mercedes-Benz,Classe E,5,Dédouanée,Non,8.0,Excellent,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,365000,5.0
125000,2016.0,Automatique,Essence,104999.5,Volkswagen,Passat,5,Importée neuve,Non,15.0,Correct,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,125000,9.0
185000,2018.0,Automatique,Diesel,144999.5,Volkswagen,Golf 7,5,WW au Maroc,Oui,8.0,Bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,185000,7.0
265000,2019.0,Automatique,Diesel,224999.5,Audi,Q3,5,WW au Maroc,Non,8.0,Excellent,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,265000,6.0
113000,2023.0,Manuelle,Essence,32499.5,Dacia,Sandero,5,WW au Maroc,Oui,6.0,Bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,113000,2.0
150000,2018.0,Manuelle,Diesel,194999.5,Opel,Crossland,5,WW au Maroc,Non,6.0,Correct,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,150000,7.0
70000,2006.0,Manuelle,Diesel,194999.5,Renault,Kangoo,5,WW au Maroc,Oui,7.0,Excellent,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,70000,19.0
235000,2015.0,Automatique,Diesel,224999.5,Volkswagen,Tiguan,5,Dédouanée,Oui,8.0,Excellent,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,235000,10.0
450000,2024.0,Automatique,Electrique,37499.5,Tesla,Model 3,5,Dédouanée,Oui,6.0,Excellent,False,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,402000,1.0
97000,2011.0,Manuelle,Diesel,32499.5,Dacia,Duster,5,WW au Maroc,Oui,6.0,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,97000,14.0
60000,2012.0,Manuelle,Diesel,144999.5,Peugeot,307,5,WW au Maroc,Oui,6.0,Très bon,True,True,True,False,True,False,True,True,False,False,True,True,False,False,True,True,60000,13.0
420000,2019.0,Automatique,Diesel,82499.5,Audi,Q5,5,WW au Maroc,Oui,8.0,Bon,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,402000,6.0
158000,2018.0,Automatique,Diesel,104999.5,Alfa Romeo,Giulietta,5,WW au Maroc,Oui,6.0,Excellent,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,158000,7.0
192000,2021.0,Automatique,Hybride,62499.5,Toyota,Corolla,5,WW au Maroc,Oui,10.0,Excellent,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,192000,4.0
135000,2022.0,Automatique,Essence,52499.5,Fiat,500,3,WW au Maroc,Oui,7.0,Excellent,True,True,True,True,True,True,True,False,True,True,False,False,False,False,True,True,135000,3.0
103000,2012.0,Manuelle,Essence,124999.5,Mini,CountryMan,5,WW au Maroc,Non,8.0,Neuf,True,True,True,False,True,False,True,False,False,True,False,False,False,False,False,True,103000,13.0
220000,2020.0,Automatique,Diesel,104999.5,Citroen,C5,5,WW au Maroc,Oui,8.0,Excellent,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,220000,5.0
138000,2021.0,Manuelle,Diesel,114999.5,Dacia,Sandero,5,WW au Maroc,Non,6.0,Très bon,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,138000,4.0
256000,2018.0,Automatique,Diesel,104999.5,Mercedes-Benz,Classe CLA,5,WW au Maroc,Non,9.0,Bon,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,256000,7.0
220000,2024.0,Automatique,Essence,2499.5,Fiat,500X,5,WW au Maroc,Non,8.0,Excellent,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,220000,1.0
83000,2012.0,Manuelle,Essence,164999.5,Peugeot,508,5,WW au Maroc,Non,9.0,Bon,True,True,True,False,True,True,True,True,True,True,True,False,False,False,True,True,83000,13.0
118000,2008.0,Automatique,Diesel,224999.5,Volkswagen,Caddy,4,Dédouanée,Non,8.0,Très bon,True,True,True,True,True,False,True,True,False,True,True,False,True,False,True,True,118000,17.0
670000,2020.0,Automatique,Diesel,82499.5,Mercedes-Benz,Classe GLC,5,Importée neuve,Non,8.0,Excellent,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,402000,5.0
163000,2024.0,Manuelle,Diesel,17499.5,Citroen,C-Elysée,5,WW au Maroc,Oui,6.0,Bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,163000,1.0
105000,2017.0,Manuelle,Diesel,144999.5,Renault,Clio,4,,Non,6.0,Très bon,True,True,True,True,True,False,True,True,True,True,True,False,True,False,True,True,105000,8.0
356000,2021.0,Automatique,Diesel,194999.5,Volvo,XC60,5,WW au Maroc,Non,8.0,Bon,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,356000,4.0
420000,2019.0,Automatique,Diesel,82499.5,Audi,Q5,5,WW au Maroc,Oui,8.0,Bon,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,402000,6.0
158000,2018.0,Automatique,Diesel,104999.5,Alfa Romeo,Giulietta,5,WW au Maroc,Oui,6.0,Excellent,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,158000,7.0
192000,2021.0,Automatique,Hybride,62499.5,Toyota,Corolla,5,WW au Maroc,Oui,10.0,Excellent,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,192000,4.0
135000,2022.0,Automatique,Essence,52499.5,Fiat,500,3,WW au Maroc,Oui,7.0,Excellent,True,True,True,True,True,True,True,False,True,True,False,False,False,False,True,True,135000,3.0
103000,2012.0,Manuelle,Essence,124999.5,Mini,CountryMan,5,WW au Maroc,Non,8.0,Neuf,True,True,True,False,True,False,True,False,False,True,False,False,False,False,False,True,103000,13.0
220000,2020.0,Automatique,Diesel,104999.5,Citroen,C5,5,WW au Maroc,Oui,8.0,Excellent,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,220000,5.0
138000,2021.0,Manuelle,Diesel,114999.5,Dacia,Sandero,5,WW au Maroc,Non,6.0,Très bon,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,138000,4.0
