Titre,Localisation,Prix,Année-Modèle,Boite de vitesses,Type de carburant,Kilométrage,Marque,Modèle,Nombre de portes,Origine,Première main,Puissance fiscale,État,ABS,Airbags,CD/MP3/Bluetooth,Caméra de recul,Climatisation,ESP,Jantes aluminium,Limiteur de vitesse,Ordinateur de bord,Radar de recul,Régulateur de vitesse,Sièges cuir,Système de navigation/GPS,Toit ouvrant,Verrouillage centralisé à distance,Vitres électriques
Volkswagen T-Roc Diesel Automatique 2022 à Kénitra,"Autre secteur, Kénitra",280 000 DH,2022,Automatique,Diesel,95 000 - 99 999,Volkswagen,T-Roc,5,WW au Maroc,Oui,8 CV,Très bon,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ford kuga,"Ain Sebaa, Casablanca",196 000 DH,2018,Automatique,Diesel,130 000 - 139 999,Ford,Kuga,5,WW au Maroc,Non,8 CV,Bon,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Dacia Duster Diesel Automatique 2021 à Casablanca,"2 Mars, Casablanca",159 000 DH,2021,Automatique,Diesel,95 000 - 99 999,Dacia,Duster,5,WW au Maroc,Non,6 CV,Très bon,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
Range Rover sport autobiographie,"Californie, Casablanca",510 000 DH,2021,Automatique,Diesel,85 000 - 89 999,Land Rover,Range Rover Sport,5,WW au Maroc,Non,12 CV,Excellent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Mercedes E220,"Zemmouri, Tanger",365 000 DH,2020,Automatique,Diesel,140 000 - 149 999,Mercedes-Benz,Classe E,5,Dédouanée,Non,8 CV,Excellent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Volkswagen Passat Diesel Manuelle 2016 à Kénitra,"Autre secteur, Rabat",125 000 DH,2016,Automatique,Essence,100 000 - 109 999,Volkswagen,Passat,5,Importée neuve,Non,15 CV,Correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Volkswagen Golf 7 Diesel Automatique 2021,"Autre secteur, Casablanca",185 000 DH,2018,Automatique,Diesel,140 000 - 149 999,Volkswagen,Golf 7,5,WW au Maroc,Oui,8 CV,Bon,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Audi Q3 Diesel Automatique 2019 à Rabat,"Yacoub El Mansour, Rabat",265 000 DH,2019,Automatique,Diesel,200 000 - 249 999,Audi,Q3,5,WW au Maroc,Non,8 CV,Excellent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Dacia Sandero Essence Manuelle 2023 33000km,"Ain Sebaa, Casablanca",113 000 DH,2023,Manuelle,Essence,30 000 - 34 999,Dacia,Sandero,5,WW au Maroc,Oui,6 CV,Bon,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
crosland x 2018,"2 Mars, Casablanca",150 000 DH,2018,Manuelle,Diesel,190 000 - 199 999,Opel,Crossland,5,WW au Maroc,Non,6 CV,Correct,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
renault,"Achennad, Tanger",70 000 DH,2006,Manuelle,Diesel,190 000 - 199 999,Renault,Kangoo,5,WW au Maroc,Oui,7 CV,Excellent,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Volkswagen Tiguan Diesel Automatique 2015,"Toute la ville, Al Hoceima",235 000 DH,2015,Automatique,Diesel,200 000 - 249 999,Volkswagen,Tiguan,5,Dédouanée,Oui,8 CV,Excellent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
Nouveau Tesla Model 3 Electrique Automatique,"Agdal, Marrakech",450 000 DH,2024,Automatique,Electrique,35 000 - 39 999,Tesla,Model 3,5,Dédouanée,Oui,6 CV,Excellent,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
Dacia Duster Diesel Manuelle 2011 à Casablanca,"Aïn Chock, Casablanca",97 000 DH,2011,Manuelle,Diesel,30 000 - 34 999,Dacia,Duster,5,WW au Maroc,Oui,6 CV,Très bon,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
